bhatta chowk,Muslim Town,1 hr 3 min,45.7
bhatta chowk,Multan Chungi,1 hr 14 min,52.1
bhatta chowk,Smanabad,1 hr 12 min,50.9
bhatta chowk,Chuburji,1 hr 10 min,50.0
bhatta chowk,MOA College,1 hr 12 min,51.4
bhatta chowk,Sherakot,1 hr 17 min,62.2
bhatta chowk,Liaqat chownk,1 hr 16 min,52.3
bhatta chowk,Phela gol chakr samanbad,1 hr 10 min,58.1
bhatta chowk,masjid kizra,1 hr 21 min,55.1
bhatta chowk,gulashan ravi,1 hr 15 min,52.3
bhatta chowk,yeteeem khana,1 hr 15 min,51.7
bhatta chowk,awaan town,1 hr 17 min,52.0
bhatta chowk,dubai chownk,1 hr 10 min,49.5
bhatta chowk,asif block,1 hr 9 min,49.1
bhatta chowk,abu bkr chownk,1 hr 4 min,42.3
bhatta chowk,usman chownk,1 hr 21 min,72.2
bhatta chowk,Butt chownk,1 hr 6 min,44.8
bhatta chowk,Faisal Town,1 hr 8 min,47.9
bhatta chowk,Chungi amrsandu,57 min,40.0
bhatta chowk,Ywanaabad,48 min,34.2
bhatta chowk,kala shah kaku,1 hr 22 min,83.4
bhatta chowk,wahdatroad,1 hr 3 min,45.9
bhatta chowk,Ichraaa,1 hr 10 min,49.5
bhatta chowk,Jnazgah,1 hr 10 min,49.5
bhatta chowk,allama iqbal town,1 hr 14 min,50.7
bhatta chowk,dubai chownk,1 hr 11 min,49.5
ra bazar,firdus market,11 min,3.3
ra bazar,shah tajj market,4 min,2.0
ra bazar,walton station,4 min,2.0
ra bazar,kalma chowk,12 min,6.8
ra bazar,garden town,11 min,6.1
ra bazar,shiekh welfare hospital,14 hr 4 min,6.1
ra bazar,imamia colony,47 min,23.6
ra bazar,ravi pull,38 min,19.7
ra bazar,bhatti gate,28 min,14.9
ra bazar,old campus,22 min,13.1
ra bazar,shahdra station,39 min,18.9
ra bazar,shahdara chowk,39 min,20.0
ra bazar,kot abdul malik toll plaza,47 min,41.4
ra bazar,baghm kot,43 min,21.4
ra bazar,basi mor,31 min,13.9
ra bazar,shalimar,18 min,8.5
ra bazar,mughal pura,22 min,9.2
ra bazar,Dhrampora,22 min,9.2
ra bazar,Jailroad Pull,12 min,7.5
ra bazar,Golbagh,37 min,15.4
ra bazar,Taj pura,34 min,14.9
ra bazar,Chmra Mandi,27 min,13.1
ra bazar,Misri shah,33 min,14.4
ra bazar,Duece road,20 min,9.9
ra bazar,China Chownk,35 min,14.6
ra bazar,Shadman,15 min,9.0
ra bazar,Service hospital,22 min,10.9
ra bazar,GPO,23 min,13.1
ra bazar,UET,25 min,12.2
ra bazar,Simla phari,20 min,9.8
ra bazar,Engneering University,37 min,21.8
ra bazar,Green Town,24 min,13.9
ra bazar,Sadiq Chownk,22 min,12.4
ra bazar,Barkat chownk,23 min,11.6
ra bazar,Town ship,18 min,10.6
ra bazar,Model Town,14 min,7.7
ra bazar,General Hospital,13 min,6.8
ra bazar,Muslim Town,13 min,7.1
ra bazar,Multan Chungi,23 min,13.6
ra bazar,Smanabad,22 min,12.3
ra bazar,Chuburji,19 min,11.4
ra bazar,MOA College,22 min,12.8
ra bazar,Sherakot,31 min,16.5
ra bazar,Liaqat chownk,25 min,12.5
ra bazar,Phela gol chakr samanbad,13 min,5.9
ra bazar,masjid kizra,30 min,13.2
ra bazar,gulashan ravi,25 min,13.7
